X1_FCVC,X2_NCP,X3_CH2O,X4_FAF,X5_TUE
2,4,3,2,2
3,3,3,2,1
3,3,3,2,0
2,3,2,1,0
3,3,3,2,0
3,1,1,0,0
3,1,1,0,0
3,4,1,1,0
3,3,3,1,1
3,3,2,0,1
2,1,1,0,2
3,3,2,2,1
2,3,1,3,2
1,3,1,2,1
3,4,2,0,0
2,1,3,1,0
3,3,2,1,1
2,3,2,2,1
3,3,3,3,2
2,4,2,2,1
3,3,2,2,0
3,4,1,2,1
1,4,1,2,1
2,3,1,2,0
3,3,2,3,1
2,3,3,0,2
2,3,2,0,1
1,3,2,3,2
3,4,2,2,0
3,4,2,2,0
2,3,2,0,2
3,3,1,1,0
3,1,2,0,1
2,3,2,0,2
2,3.28926,2.847264,1.680844,2
2,4,2.884033,2,1.340107
2.450218,3.995147,2.147746,2,0.58998
3,3,2.815293,1.978631,1
3,3,2.593459,2,1
2.880161,3,1.031354,2.206738,1.37465
3,1.72626,2.444125,1.31817,0
3,2.581015,2.654702,0.902095,0
3,1.600812,2.651258,0.600817,0
2.00876,1.73762,1.792022,0.119643,0
2.596579,1.10548,1.490613,0.345684,0
2.591439,3,2.074048,1.679935,0
3,3,3,2.539762,1.283673
3,2.0846,2.13755,0.196152,0.062488
3,1.894384,2.456581,1.596576,0.9974
2.392665,1,1,0,0.738269
3,1,1,0,0
3,2.857787,1,0.754646,0
3,1,1.527036,0,0.860497
3,1,1.322669,0,0.478676
3,1,1,0,0
3,3.765526,1.656082,0.42777,0.555967
3,3.285167,1.569082,0.545931,0.469735
1.123939,4,1,1.303976,0.371941
3,3,2.843777,1.488843,0.009254
3,3.691226,2.650989,1.228136,0.8324
3,3,2.027984,1.661556,0.114716
3,3,2,0.658894,1
3,3.156153,1.253803,0.544784,0.256382
3,3,2,0.819682,1
2,1.07976,1,0.194745,1.547086
2.027574,1,1.636326,0,1.906141
2.658112,1,1.298165,0,1.639326
2.88626,3.559841,1.632004,2,1
2.714447,3,2,1.903182,1
2.750715,3,2,1.067817,1
2,3,2.099863,1.63581,2
2,3.891994,1.86393,2.870127,2
2,3,1.229915,0.619533,2
1.4925,3,1.049134,2,1
1,3.240578,1,2,1
2.205439,3,1.530531,2,1
2.059138,3.904858,2,0.821977,0
3,3.11158,2.721769,1.44287,0
3,3.590039,2.7305,0.107078,0
2,2.057935,2.371015,0.288032,0.714627
2.310423,3.558637,1.787843,1.926592,0.828549
2,2.000986,2.673835,0.99295,0.474836
2.823179,3,1.773236,1.252472,1
2.052932,3,2,0.520408,1
2.596364,3,2,0.281734,1.488372
2.767731,3.821168,2,2,0.556245
2,3.897078,2.622638,2,1.894105
2,3.092116,2.426465,2,1.839862
2.815157,3,2.911187,2.595128,1.380204
2.737762,3,2.310921,2.240714,1.59257
3,3.286431,2.148146,2.458237,1.273333
2.568063,4,2,2,0.220029
2.524428,4,2,2,0.03838
2,4,2.157395,2,1.679149
3,3,2,0.139808,0.875464
2.971574,3.592415,2.894678,2,1.009632
3,3,2.025279,2,0.152985
3,3.754599,1.692112,2,1
3,3.566082,1.438398,2,1
3,3.725797,1.191401,2,1
1.0816,3.520555,1.016968,0.651412,1
1.270448,3.731212,1.876915,2,1
1.344854,4,1,2,1
2.959658,3,1,1.522399,0
2.725282,1.259803,1,1.37467,0
2.844607,1.273128,1.69551,0.260079,0.635867
2.44004,3,2,2.784471,1
2.432302,3,2,2.349495,1
2.592247,3.304123,2.036764,2.038653,1.119877
2.449267,3.647154,1.266018,0.866045,0.097234
2.929889,3,2.792074,0.630944,1.366355
2,3,1.426874,2.20208,2
2.015258,3.300666,1.315608,0.069802,1
1.031149,3,1.963628,0.028202,1
1.592183,3.535016,1.086391,0.618913,1
1.21498,1.717608,1.179942,0.684739,2
1.522001,3,1.98126,2.306844,0.720454
2.703436,2.884479,1.439962,0.144627,0.322307
2.362918,4,2.358172,2,0.939819
3,3.626815,2,2.011519,0.456462
2.14084,4,2.931438,2,1.164457
3,4,2,2,0
2.5596,4,2,2,0.331483
2.336044,4,2,2,0.133005
2,3,2,0,1.593704
2,3,2,0,1.329237
1.813234,3,1.274815,0.520407,1.673584
2.724285,3,1,1.070331,0
3,3,1.28246,1.60195,0
3,3,2.875583,1.258504,0
3,1,1.387531,0,0.466169
